"station_id","name","short_name","lat","lon","region_id","capacity"
"137","Magoun Square at Trum Field","S32013",42.398365,-71.107818,9,15
"138","Newmarket Square T Stop - Massachusetts Ave at Newmarket Square","C32022",42.326599,-71.066498,10,15
"139","Dana Park","M32030",42.361780439606044,-71.10809952020645,8,19
"140","Danehy Park","M32031",42.388966,-71.132788,8,17
"141","Kendall Street","M32032",42.363560158429884,-71.08216792345047,8,15
"142","Alewife Station at Russell Field","M32033",42.396105,-71.139459,8,23
"143","EF - North Point Park","M32034",42.369885,-71.069957,8,23
"145","Rindge Avenue - O'Neill Library","M32036",42.392766,-71.129042,8,19
"146","Murphy Skating Rink - 1880 Day Blvd","C32023",42.336448,-71.023739,10,19
"149","175 N Harvard St","A32019",42.363796,-71.129164,10,18
"150","State Street at Channel Center","C32024",42.344137,-71.052608,10,19
"151","Surface Rd at India St","A32013",42.358155,-71.052163,10,19
"152","Ink Block - Harrison Ave at Herald St","C32025",42.345901,-71.063187,10,15
"159","S Huntington Ave at Heath St","E32007",42.3279727,-71.1108971,10,15
"160","Wentworth Institute of Technology - Huntington Ave at Vancouver St","B32021",42.337596,-71.096391,10,14
"161","W Broadway at D St","C32029",42.3391085,-71.0514432,10,19
"162","Franklin Park - Seaver St at Humbolt Ave","C32027",42.309796,-71.092225,10,15
"163","The Lawn on D","C32028",42.344792,-71.044024,10,19
"167","Ryan Playground - Dorchester Ave at Harbor View St","C32031",42.317642,-71.056664,10,15
"169","Edwards Playground - Main St at Eden St","A32022",42.378965,-71.068607,10,15
"170","Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave","C32030",42.303469,-71.085347,10,14
"171","Bunker Hill Community College","A32023",42.37408991426522,-71.06905996799469,10,19
"173","Savin Hill T Stop - S Sydney St at Bay St","C32033",42.3106,-71.0539,10,14
"174","Washington St at Brock St","D32029",42.3490049,-71.1604106,10,15
"175","Brighton Center - Washington St at Cambridge St","D32028",42.34894857235593,-71.15027189254761,10,17
"176","Lesley University","M32039",42.38674802045056,-71.11901879310608,8,15
"177","University Park","M32040",42.36264779118595,-71.10006093978882,8,19
"178","MIT Pacific St at Purrington St","M32041",42.35957320109044,-71.10129475593567,8,19
"179","MIT Vassar St","M32042",42.355601213279265,-71.10394477844238,8,25
"180","Mt Auburn","M32043",42.37478628706384,-71.13320231437683,8,19
"183","Alewife MBTA at Steel Place","M32046",42.395588457167094,-71.14260613918304,8,23
"184","Sidney Research Campus/ Erie Street at Waverly","M32047",42.35775309465199,-71.10393404960632,8,19
"185","Third at Binney","M32048",42.36544486137399,-71.08277142047882,8,15
"186","Congress St at Northern Ave","C32032",42.3481,-71.03764,10,11
"189","Kendall T","M32004",42.362427842912396,-71.08495473861694,8,23
"190","Nashua Street at Red Auerbach Way","A32025",42.365673,-71.064263,10,37
"192","Purchase St at Pearl St","A32026",42.354659,-71.053181,10,19
"193","Brookline Village - Station Street @ MBTA","K32005",42.33289074055233,-71.11658334732056,4,3
"194","Broadway St at Mt Pleasant St","S32014",42.386141411639564,-71.07828140258789,9,3
"195","Brian P. Murphy Staircase at Child Street","M32049",42.3720597013741,-71.07202649116516,8,23
"196","Roxbury YMCA - Warren St at MLK Blvd","B32022",42.317899,-71.082651,10,10
"197","MLK Blvd at Washington St","B32023",42.321566,-71.091691,10,15
"199","Upham's Corner T Stop - Magnolia St at Dudley St","B32025",42.318839,-71.069763,10,0
"200","Washington St at Melnea Cass Blvd","B32026",42.332817,-71.081198,10,15
"201","NCAAA - Walnut Ave at Crawford St","B32027",42.316902,-71.091946,10,15
"202","Grove Hall Library - 41 Geneva Ave","B32028",42.30791,-71.080952,10,15
"203","Columbia Rd at Ceylon St","B32029",42.309572,-71.0729,10,15
"204","Walnut Ave at Warren St","B32030",42.324081,-71.083235,10,15
"205","Bowdoin St at Quincy St","B32031",42.306348,-71.067149,10,14
"207","Faneuil St at Market St","D32030",42.35484,-71.150226,10,2
"208","Oak Square - 615 Washington St","D32031",42.35057,-71.166491,10,0
"209","Chelsea St at Saratoga St","A32027",42.379772,-71.027448,10,15
"210","Bennington St at Byron St","A32028",42.38337841883669,-71.01612031481636,10,15
"211","Piers Park","A32029",42.364854,-71.035021,10,19
"212","Maverick Square - Lewis Mall","A32030",42.368051,-71.040509,10,33
"213","East Boston Neighborhood Health Center - 20 Maverick Square","A32031",42.369536,-71.039431,10,16
"214","Airport T Stop - Bremen St at Brooks St","A32032",42.375339,-71.031304,10,15
"215","The Eddy - New St at Sumner St","A32033",42.370744,-71.044201,10,15
"216","Glendon St at Condor St","A32034",42.382511,-71.030058,10,19
"217","Orient Heights T Stop - Bennington St at Saratoga St","A32035",42.386781,-71.006098,10,19
"218","Watermark Seaport - Boston Wharf Rd at Seaport Blvd","C32034",42.351783,-71.045782,10,0
"219","Central Square - East Boston","A32036",42.374335,-71.039685,10,19
